epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8888,0.86887,1.27815,1.16694,0.42041,0.19144,0.16229,0.04626,0.7956,0.82607,1.07768,0.00330986,0.00330986,0.00330986
2,59.6572,0.83517,0.73325,1.07376,0.39114,0.25187,0.18761,0.05324,0.79439,0.56554,1.06105,0.00664303,0.00664303,0.00664303
3,72.4497,0.84371,0.61387,1.07567,0.41685,0.2167,0.16254,0.0501,0.77213,0.52712,1.07694,0.00997554,0.00997554,0.00997554
4,86.2094,0.82888,0.55767,1.0763,0.42917,0.24607,0.20509,0.06312,0.79225,0.57331,1.07982,0.00999778,0.00999778,0.00999778
5,104.314,0.8042,0.48897,1.05948,0.43174,0.245,0.20701,0.06517,0.77806,0.42251,1.08764,0.00999605,0.00999605,0.00999605
6,122.514,0.79031,0.47781,1.04115,0.46014,0.25065,0.22107,0.07185,0.75299,0.45028,1.05748,0.00999383,0.00999383,0.00999383
7,143.034,0.78285,0.45446,1.03241,0.55303,0.2853,0.28286,0.10158,0.68633,0.4248,1.02841,0.00999112,0.00999112,0.00999112
8,157.789,0.75647,0.42778,1.0256,0.56158,0.2929,0.29124,0.10187,0.68522,0.36892,1.02524,0.00998792,0.00998792,0.00998792
9,170.494,0.74184,0.41811,1.01998,0.55907,0.28759,0.27689,0.09867,0.67181,0.3983,1.01772,0.00998422,0.00998422,0.00998422
10,182.852,0.73722,0.41677,1.01861,0.5414,0.28225,0.25977,0.09534,0.68115,0.39901,1.02702,0.00998003,0.00998003,0.00998003
11,195.393,0.72235,0.39825,1.01354,0.48243,0.28881,0.27666,0.09961,0.6894,0.37131,1.01953,0.00997535,0.00997535,0.00997535
12,208.666,0.73037,0.40484,1.0079,0.49743,0.29129,0.2746,0.09914,0.6705,0.39212,1.01116,0.00997018,0.00997018,0.00997018
13,228.575,0.716,0.39069,1.00626,0.53798,0.29861,0.3019,0.11267,0.67728,0.36118,1.01638,0.00996452,0.00996452,0.00996452
14,243.023,0.70137,0.37301,1.0017,0.58065,0.30957,0.32127,0.12201,0.64746,0.34693,1.00614,0.00995837,0.00995837,0.00995837
15,255.323,0.70404,0.39103,1.00201,0.57762,0.31385,0.32328,0.12605,0.64296,0.33625,1.00758,0.00995173,0.00995173,0.00995173
